Object,Start,End,Count,Surface area,Flat area,Volume,
d004,1,111,111,13.6352,56.2554,2.41898,
d004__checked_delete,18,99,200,2.14904,0.0958459,0.00412138,
d004__cluster1begin,18,18,1,0.0732045,0.19299,0.00829856,
d004__cluster1end,99,99,1,0.0691217,0.186202,0.00800668,
d004_07_triplebranched,32,32,1,0.0696348,0.20183,0.00867868,
d004_c02a,15,20,6,0.159231,0.151803,0.00652755,
d004_c02b,3,7,5,0.14154,0.155875,0.00670262,
d004_c03,9,11,3,0.0857329,0.101288,0.00435539,
d004_c04,14,15,2,0.0608621,0.0673223,0.00289486,
d004_c05_sym,23,29,7,0.289969,0.41393,0.017799,
d004_c06,6,19,18,0.605975,0.732775,0.0315093,
d004_c07a,14,17,4,0.0739704,0.0536285,0.00230603,
d004_c07b,15,32,24,0.858607,1.12755,0.0484846,
d004_c07c,44,48,5,0.118014,0.109509,0.00470889,
d004_c08,37,38,2,0.0450108,0.0388135,0.00166898,
d004_c09,19,20,2,0.0666384,0.0848594,0.00364895,
d004_c10,42,44,3,0.0957401,0.107225,0.00461068,
d004_c11,46,50,5,0.114381,0.0994461,0.00427618,
d004_c12,39,41,3,0.0884864,0.103355,0.00444428,
d004_c13,58,61,4,0.0790114,0.0618159,0.00265809,
d004_c14,58,72,19,0.775173,1.15401,0.0496222,
d004_c15,41,52,14,0.579757,0.775353,0.0333402,
d004_c16,62,66,6,0.218308,0.287762,0.0123737,
d004_c17a,44,47,4,0.110913,0.126533,0.00544094,
d004_c17b,52,53,2,0.0478,0.0444061,0.00190946,
d004_c18a,51,57,7,0.281287,0.313706,0.0134894,
d004_c18b,51,53,3,0.0747157,0.0727343,0.00312757,
d004_c19,76,80,5,0.149633,0.158675,0.00682304,
d004_c20,85,90,6,0.115323,0.0875358,0.00376404,
d004_c21,61,64,4,0.116701,0.121331,0.00521723,
d004_c22,69,73,5,0.128577,0.127898,0.00549959,
d004_c23,79,83,5,0.116493,0.101141,0.00434908,
d004_c24a,86,89,4,0.0747971,0.0529188,0.00227551,
d004_c24b,93,96,4,0.0769258,0.0552871,0.00237735,
d004_c25,94,98,5,0.112093,0.0897579,0.00385959,
d004_c26,82,85,4,0.131178,0.178339,0.00766857,
d004_cfa02a,15,20,6,0.0576183,0.0576183,0,
d004_cfa02b,3,7,5,0.0464806,0.0464806,0,
d004_cfa03,9,11,3,0.0408196,0.0424268,0.00129435,
d004_cfa04,15,15,1,0.0288746,0.0269082,0.00115705,
d004_cfa05,23,29,7,0.106855,0.106855,0,
d004_cfa06,6,19,18,0.219682,0.219682,0,
d004_cfa07a,14,17,4,0.029955,0.0217598,0.000294697,
d004_cfa07b,15,32,24,0.3053,0.3053,0,
d004_cfa07c,44,48,5,0.0362102,0.0362102,0,
d004_cfa08,37,38,2,0.0237257,0.015471,0.000427147,
d004_cfa09,20,20,1,0.0356442,0.0478713,0.00205847,
d004_cfa10,42,44,3,0.032747,0.032747,0,
d004_cfa11,46,50,5,0.0346012,0.0346012,0,
d004_cfa12,39,41,3,0.0373128,0.0310847,0.000792402,
d004_cfa13,58,61,4,0.0226658,0.0226658,0,
d004_cfa14,58,72,21,0.353818,0.387366,0.00500131,
d004_cfa15,41,52,16,0.310994,0.298716,0.00240569,
d004_cfa16,62,66,6,0.111334,0.120974,0.00200513,
d004_cfa17a,44,47,4,0.0348419,0.0348419,0,
d004_cfa17b,52,53,2,0.0141119,0.0141119,0,
d004_cfa18a,51,57,7,0.110936,0.110936,0,
d004_cfa18b,51,53,3,0.0222559,0.0222559,0,
d004_cfa19,76,80,5,0.0507409,0.0507409,0,
d004_cfa20,85,90,6,0.0338878,0.0338878,0,
d004_cfa21,61,64,4,0.0419144,0.0419144,0,
d004_cfa22,69,73,5,0.0426988,0.0426988,0,
d004_cfa23,79,83,5,0.0408604,0.0408604,0,
d004_cfa24a,86,89,4,0.0238129,0.0238129,0,
d004_cfa24b,93,96,4,0.0227775,0.0227775,0,
d004_cfa25,94,98,5,0.0388923,0.0388923,0,
d004_cfa26,83,85,5,0.0957694,0.0888017,0.00322987,
d004_cl01_asyn,18,22,5,0.609935,2.54107,0.109266,
d004_cl02_syn_symm,23,92,70,8.88271,37.7179,1.62187,
d004_cl03_asyn,93,99,7,0.763572,2.85143,0.122611,
d004_i05_o02,7,26,20,2.46846,10.238,0.440236,
d004_i05_o03,10,26,17,2.08916,8.65984,0.372373,
d004_i05_o04,16,26,11,1.3445,5.62878,0.242038,
d004_i05_o06,26,26,1,0.126414,0.525487,0.022596,
d004_i05_o07,26,31,7,0.896844,3.8667,0.166268,
d004_i05_o08,26,30,5,0.640004,2.73278,0.11751,
d004_i05_o09,26,34,9,1.1799,5.13647,0.220868,
d004_i05_o10,26,35,10,1.32035,5.77498,0.248324,
d004_i05_o11,26,42,17,2.28897,10.2566,0.441034,
d004_i05_o12,26,46,21,2.8085,12.6171,0.542537,
d004_i05_o13,26,49,24,3.20339,14.2776,0.613935,
d004_i05_o14,26,53,28,3.69549,16.3364,0.702466,
d004_i05_o15,26,61,36,4.63158,19.9712,0.858763,
d004_i05_o16,26,62,37,4.7637,20.504,0.88167,
d004_i05_o17,26,66,41,5.25057,22.4793,0.96661,
d004_i05_o18,26,67,42,5.36391,22.928,0.985905,
d004_i05_o19,26,69,44,5.60687,23.8941,1.02745,
d004_i05_o20,26,73,48,6.09022,25.6947,1.10487,
d004_i05_o21,26,75,50,6.31197,26.5003,1.13951,
d004_i05_o22,26,79,54,6.80574,28.6299,1.23109,
d004_i05_o23,26,81,56,7.07431,29.9009,1.28574,
d004_i05_o24,26,86,61,7.77037,33.1421,1.42511,
d004_i05_o25,26,91,66,8.41182,35.8174,1.54015,
d004_i05_o26,26,101,76,9.49545,39.8081,1.71175,
d004_INC,17,100,2,0.0977879,0.0358513,0.00154161,
d004_mt_high1_php,101,101,17,0.0310457,0.00230164,9.89705e-05,
d004_mt_high2_php,103,103,18,0.026914,0.00163368,7.02482e-05,
d004_mt_low_ddh,21,21,18,0.0483055,0.00526258,0.000226291,
d004_mt_med_php,91,91,16,0.0342057,0.00296848,0.000127645,
d004_mt_med2_php,96,96,17,0.0310482,0.00230208,9.89894e-05,
d004_o01_INC,1,3,3,0.026422,0.00173514,7.46112e-05,
d004_o02_BRANCHED,5,9,5,0.0216941,0.00244624,0.000105188,
d004_o03,8,11,4,0.0173497,0.00195574,8.40968e-05,
d004_o04,14,17,4,0.0173549,0.0019571,8.41551e-05,
d004_o05_sym,23,29,7,0.0303742,0.00342546,0.000147295,
d004_o06,23,29,7,0.0303841,0.00342737,0.000147377,
d004_o07_triplebranched,27,35,9,0.0390617,0.00440632,0.000189472,
d004_o08,28,32,5,0.0217005,0.00244773,0.000105252,
d004_o09,31,36,6,0.0260246,0.0029336,0.000126145,
d004_o10,32,37,6,0.0260159,0.00293183,0.000126069,
d004_o11,40,44,5,0.0282671,0.0041535,0.000178601,
d004_o12,43,48,6,0.0339154,0.00498243,0.000214244,
d004_o13,47,50,4,0.0164429,0.00175654,7.55312e-05,
d004_o14,47,58,12,0.0666382,0.00961766,0.000413559,
d004_o15,59,62,4,0.0163658,0.0017402,7.48286e-05,
d004_o16,60,63,4,0.0163658,0.0017402,7.48286e-05,
d004_o17,63,69,7,0.0261359,0.00253602,0.000109049,
d004_o18_BRANCHED,66,68,3,0.0112043,0.00108747,4.67612e-05,
d004_o19,67,70,4,0.0149316,0.00144855,6.22879e-05,
d004_o20,71,75,5,0.0186576,0.00180953,7.78096e-05,
d004_o21,73,76,4,0.0149455,0.00145125,6.24037e-05,
d004_o22,77,81,5,0.018679,0.00181362,7.79857e-05,
d004_o23,79,83,5,0.0186929,0.00181632,7.81018e-05,
d004_o24_BRANCHED,83,88,6,0.0224214,0.00217752,9.36334e-05,
d004_o25,90,92,3,0.0112107,0.00108876,4.68167e-05,
d004_o26,100,102,3,0.0111892,0.00108466,4.66404e-05,
d004_o27,106,108,3,0.0112107,0.00108876,4.68167e-05,
d004_o28_sym_INC,105,111,7,0.0512835,0.00279436,0.000120158,
d004_p02,1,23,33,1.2656,1.54888,0.0666017,
d004_p03,6,11,7,0.395294,0.611688,0.0263026,
d004_p04,14,19,8,0.416718,0.545609,0.0234612,
d004_p06,1,29,31,1.87843,3.28536,0.14127,
d004_p07,11,48,61,3.51818,5.81631,0.250101,
d004_p08,28,38,13,0.353014,0.351646,0.0151208,
d004_p09,20,36,17,0.572494,0.636575,0.0273727,
d004_p10,33,45,14,0.64286,0.661968,0.0284646,
d004_p11,40,62,24,0.692895,0.687811,0.0295759,
d004_p12,38,48,14,0.657895,0.860096,0.0369841,
d004_p13,47,61,15,0.404487,0.368326,0.015838,
d004_p14,48,72,26,2.41242,5.38825,0.231695,
d004_p15,38,62,27,2.10618,4.32662,0.186045,
d004_p16,56,70,19,1.15255,2.15628,0.0927201,
d004_p17,44,69,26,0.740391,0.806671,0.0346869,
d004_p18,49,68,34,1.51585,1.60434,0.0689865,
d004_p19,67,87,21,0.697116,0.708097,0.0304482,
d004_p20,71,90,21,0.548645,0.474396,0.020399,
d004_p21,60,76,18,0.547164,0.608403,0.0261613,
d004_p22,68,81,14,0.481523,0.505254,0.0217259,
d004_p23,79,84,6,0.2545,0.274521,0.0118044,
d004_p24,83,97,18,0.567625,0.48183,0.0207187,
d004_p25,91,100,10,0.437386,0.434851,0.0186986,
d004_p26,83,102,21,0.775229,1.05485,0.0453587,
d004_r07,33,33,1,0.024899,0.0237277,0.00102029,
d004_r10_maybe,41,41,1,0.0293737,0.0370982,0.00159522,
d004_r14,53,53,1,0.0215652,0.0158616,0.000682048,
d004_r19_maybe,75,75,1,0.0139559,0.00835106,0.000359096,
d004_r22,73,73,1,0.0180228,0.013307,0.000572203,
d004_rs01_exclude,4,7,4,0.0736675,0.05636,0.00242348,
d004_rs02_exclude,9,10,2,0.036577,0.0266347,0.00114529,
d004_rs03,33,33,1,0.0272459,0.0292919,0.00125955,
d004_rs04,33,33,1,0.0220365,0.0200824,0.000863545,
d004_rs05,77,77,1,0.0184873,0.014569,0.000626465,
d004_rs06_maybe,31,31,1,0.0393562,0.0664039,0.00285537,
d004_scalecube,87,87,1,0.0701502,0.0923848,0.00397255,
d004_ser16_tubule?,63,63,1,0.0407019,0.0707883,0.0030439,
d004axon04_sym_syn2,119,119,1,0.057722,0.110828,0.0047656,
d004axon04_sym_syn3,17,17,1,0.0560119,0.119297,0.00512978,
d004borderline_inc_butcanbekept,25,25,1,0.0418312,0.0735256,0.0031616,
d004branch07,24,24,1,0.0578138,0.112554,0.00483981,
d004sa06,21,25,7,0.0419594,0.00472236,0.000203061,
d004sa07,20,30,12,0.109289,0.0186914,0.000803732,
d004sa14,48,58,2,0.0174408,0.0028561,0.000122812,
d004sa15,56,61,2,0.0194704,0.00356077,0.000153113,
d004ser17,65,65,1,0.0033196,0.00020608,8.86144e-06,
